,rec,lig,pocket_change,backbone_change
0,2C64,2XFN,0.1515451665346002,0.12670222786302618
1,2XFN,2C64,0.1539271968201322,0.1259854488952319
2,1B3R,1KY4,0.23733618912139604,0.12323284194294458
3,1KY4,1B3R,0.2571503173521013,0.14876995664448564
4,3EML,3QAK,2.114588782524414,1.6655614845521396
5,3QAK,3EML,1.609606794300417,1.0122124282975389
6,2E2B,2G2H,2.9926378745641546,1.7970333886714518
7,2E2B,3KFA,1.1905710882299434,0.6087271042922269
8,2E2B,1M52,2.160561611542871,1.740031373802835
9,2E2B,1FPU,0.7448988551124414,0.23515314159075154
10,2XYN,3UE4,2.197607427293233,1.4871548058849373
11,2XYN,2E2B,6.688503943334413,6.112100166427611
12,2XYN,1FPU,5.019984703690576,4.525295459967228
13,2HZ0,3HMI,3.8125979535686105,3.121089059393639
14,2HZ0,2E2B,5.2548812609063935,5.0827692876599215
15,2HZ0,4TWP,3.8985341663031927,3.169683810972076
16,2G2I,2HIW,4.223504866402044,3.912040030470036
17,2G2I,3QRK,4.883693925662271,4.527160227700443
18,3UE4,3GVU,6.440793458917525,6.127340287596243
19,3UE4,2G1T,2.9387034686955196,1.644483539325071
20,3UE4,3CS9,5.7926184889631465,5.706592252240679
21,3PYY,2V7A,5.218291479302681,3.375216849000635
22,3PYY,2G2I,12.570114103741505,12.50764234378326
23,3PYY,3UE4,2.8625297865607213,2.8495463820287843
24,3PYY,2G2H,3.0329104674576954,1.8544081143441582
25,2F4J,3GVU,6.084945127371734,6.432937276237038
26,2F4J,2HZ0,3.7515347198496363,3.026176062706861
27,2F4J,4TWP,1.3877498974158773,0.5789903088807081
28,4TWP,2G2I,1.6074000479923207,1.6436918202631539
29,4TWP,3HMI,2.648199682987597,1.6463974169517681
30,4XLI,5HU9,5.38888811227944,4.968068967230416
31,4XLI,3KFA,5.921648256771343,5.295489982050764
32,2QOH,3OY3,5.557125134578457,5.401469501230871
33,2QOH,1M52,1.946274235558802,1.2569292413047992
34,2HIW,2XYN,3.326122251711944,2.103074048754693
35,2HIW,3KFA,1.1531755879395464,0.6359447040951486
36,2HIW,3HMI,3.1533407521361485,2.5452499315952677
37,2G2H,3QRI,5.330985300914965,4.2470243215968635
38,2HZN,3DK6,2.284344874580915,1.9741892766399072
39,2HZN,3UE4,2.6627457429628287,2.012339186121465
40,2HZN,3KF4,3.0820870777032656,1.8710701483375765
41,2HZN,3CS9,0.9768316087921621,0.3592828041158294
42,4ZOG,2V7A,4.501906878807529,2.8507192269866053
43,2G1T,5HU9,5.117841548780214,4.315460590164526
44,2G1T,2HZN,5.10479058326489,4.400508405942343
45,2HYY,5HU9,1.330973250141637,0.7040157136030422
46,2HYY,2HZ0,1.1356731737265453,0.8001585110821127
47,2HYY,3QRK,1.2343945560476195,0.6251258539952841
48,2Z60,2G2H,2.0190735169048866,1.1764908508875966
49,2Z60,2HZ0,3.393851677913876,2.7469558302479737
50,2Z60,3HMI,2.459203718185265,1.4249515391369942
51,2Z60,3KF4,1.2995376629786457,0.7424832658046914
52,1FPU,3QRK,0.9533827032977725,0.46038160499983266
53,2HZI,2G2I,1.8609179125562545,1.8211211748077971
54,2HZI,3IK3,5.8481992139714505,5.725953226943341
55,3QRJ,3GVU,1.096202842732034,0.790298451761828
56,3QRJ,3UE4,2.485803306780325,2.176998957633756
57,3QRJ,4TWP,3.2113618656132314,2.0444505151973997
58,3OY3,2HZ0,1.2202063787890993,0.9248080161128944
59,3OY3,2G1T,8.602918983751016,7.488458038875559
60,3OY3,4TWP,3.336304760934068,2.1180878640887406
61,3DK6,3GVU,5.879172867939087,5.689448611245205
62,3DK6,4YC8,1.7033949238701716,1.1556511151727409
63,3DK6,3KFA,4.3020763990788735,3.8503481584366455
64,3DK6,2E2B,5.250239353047222,5.204207960871664
65,4WA9,2E2B,5.374989376870487,5.062458586613472
66,4WA9,2HZI,2.065202582286385,1.9125799329701223
67,1M52,2V7A,4.160941756257719,2.4018928709741334
68,1M52,2XYN,2.4378416836675156,1.0597238437442085
69,1M52,2G2H,0.6535452401726913,0.3541992730088533
70,1M52,2HZ0,4.0804792600628765,3.6357933367423403
71,4YC8,2HZ0,4.305158672181613,3.8672600211814796
72,4YC8,2HZN,5.52720075996556,4.889888407352835
73,3GVU,2GQG,1.6398547946610442,0.9477512250666751
74,3HMI,3DK6,1.4021025071214266,0.9033340769313726
75,3HMI,2Z60,2.1349113116264657,1.1245814777062617
76,3HMI,2HZ0,4.358800386232151,3.629073270133851
77,3HMI,3CS9,5.567501118428599,5.453526764990761
78,3QRK,3QRI,1.0807273325440105,0.3593749916387963
79,2V7A,2G2I,1.7258897397978217,2.1213286402629836
80,2V7A,2HIW,4.312710068709945,4.094392425419593
81,3DK7,4YC8,1.983019395156948,1.2474387914689598
82,3DK7,2G1T,4.21910670166091,2.895559358742279
83,3MSS,3UE4,2.8074982190555344,2.7939397682433005
84,3MSS,1FPU,0.7579464563999432,0.2213964204769357
85,3IK3,4TWP,3.184768211499168,2.2075115452070064
86,2G2F,4YC8,2.330065672485486,1.1029426723368438
87,2G2F,2XYN,2.6103465217965645,1.071498186483002
88,3QRI,5HU9,1.479796083925079,0.9769399845094551
89,3QRI,3OY3,1.2147083268537062,0.5044357904299287
90,3QRI,3CS9,0.7993521356290316,0.5268730689352332
91,5HU9,2V7A,6.085554647347574,3.8797257062266084
92,5HU9,2G2I,6.381840649422928,6.082369941980766
93,5HU9,4YC8,2.7507023381204254,1.36374732915514
94,5HU9,2Z60,4.0573434210531945,2.568843854733098
95,5HU9,2HZN,0.7838726172025657,0.5087981918206865
96,5HU9,1FPU,1.2478076437454106,0.7625568284834038
