,Crossdock Default2018 Good,Crossdock Default2018 Left,General Default2018 Good,General Default2018 Left,Redock Default2018 Good,Redock Default2018 Left,Default2017 Good,Default2017 Left,Crossdock Dense Good,Crossdock Dense Left
0.0,41.37423080128249,100.0,37.642608236073286,100.0,33.86947087023075,100.0,27.967555494151235,100.0,36.54779997105224,100.0
0.01,41.37423080128249,100.0,37.70748205331403,97.42145740154905,33.87989205998325,99.70519994540741,27.96884498480243,99.89636740482165,36.54779997105224,99.95500163630413
0.02,41.37423080128249,99.98363695865605,37.80332302129238,94.94927457183377,33.91560741036273,99.06100723351986,27.97150372841314,99.77637176829931,36.54779997105224,99.76137231373406
0.03,41.37423080128249,99.96318315697613,37.91120082261786,92.70481073415512,33.92306364882201,98.02374778217552,27.97150372841314,99.61819570197449,36.55338776387408,99.50229082578815
0.04,41.37423080128249,99.90727609905096,37.99300613690021,90.65397621904657,33.95406354971753,96.65483826941448,27.979110009065213,99.42047561906841,36.558653184033105,99.11912294098394
0.05,41.379711136550064,99.8390967601178,38.09114800518467,88.71086505945239,34.00390720094023,94.98566944179063,27.98137319673874,99.19684738736773,36.558653184033105,98.7168648412785
0.06,41.379711136550064,99.72182829715284,38.167883425492,86.92320279262572,34.054042554170735,93.02988944997955,27.992318516194693,98.98821861023235,36.572519639772786,98.29142576633578
0.07,41.379711136550064,99.55410712337734,38.26184106591021,85.13281335224174,34.08489151884737,90.98812610891224,27.99566306192009,98.70322897349187,36.57585082395504,97.90962146831023
0.08,41.38024842432139,99.34956910657795,38.36061151443322,83.48969128395332,34.139821202414424,88.83308311723759,28.00613377246796,98.40733064252208,36.595294062243255,97.4882731537035
0.09,41.38486909915483,99.09457837896805,38.428486248547465,81.98156430675247,34.23505578232359,86.64664937900915,28.01203516590735,98.14006763390422,36.59712084066578,97.06828842587542
0.1,41.39260604306197,98.73731864295843,38.550840738546654,80.45571070142904,34.31544690472782,84.5284563941586,28.028552012027358,97.81962474091853,36.618369720480274,96.62648630958874
0.11,41.40228160896853,98.35278717137558,38.615459386938646,79.00349078215338,34.447769515495835,82.38979118329466,28.02890195603632,97.48690956692484,36.62245968657631,96.17513908585144
0.12,41.41046061421771,97.92462092287552,38.77794915500998,77.68762954074397,34.575099813557024,80.4094445202675,28.02416554963511,97.14328569870186,36.64803790792116,95.71697392822081
0.13,41.417767727907794,97.45009272390095,38.83106941520633,76.39904003490781,34.70494366666082,78.43319230244302,28.035880815985323,96.78329878913496,36.66753617496745,95.25608159703285
0.14,41.43389494724454,96.92374822733721,38.92876347249209,75.05590705792518,34.85439871658801,76.55247713934763,28.051794097354694,96.4164939456747,36.685946186030996,94.7870077451729
0.15,41.43733358898105,96.38922221010144,39.00853704715808,73.90913057706994,34.97769279957913,74.77548792138666,28.05563520434103,95.99650921784662,36.6958936141226,94.35884149667284
0.16,41.45488581848453,95.82742445729248,39.09661892032986,72.74190029453473,35.14360651905149,73.0803876074792,28.07795239770223,95.55470710155994,36.712976539205386,93.89113123159157
0.17,41.47423856962175,95.14154030762518,39.20525838612385,71.5187629540744,35.2908495820635,71.3238706155316,28.100564271627242,95.11972291916658,36.747323390169775,93.43842042107559
0.18,41.484922819737676,94.44747463728592,39.27982758977557,70.30789789462202,35.47602524137792,69.67244438378599,28.10826732629497,94.6629213483146,36.750650188329395,92.94752918075706
0.19,41.52656476792422,93.78477146285591,39.44084612975537,69.14339478564416,35.62405736885898,68.07424593967517,28.125872708443328,94.20611977746263,36.76914236549445,92.44709283298788
0.2,41.55172175602207,93.04161666848478,39.55821628946301,68.1029780735246,35.776074952358584,66.59069196123926,28.148944171919627,93.77658994218392,36.79053022016922,91.91665757608814
0.21,41.57608921320399,92.31482491545763,39.67129878844168,67.06801570851971,35.970295568326954,65.09076020199262,28.15572917985423,93.3334242391186,36.80130801447371,91.42849350932694
0.22,41.629020500918436,91.5062179557107,39.81738382624129,66.04123486418675,36.25296637866386,63.695919202948005,28.286872936502352,92.8848041889386,36.81589838601386,90.9771462855896
0.23,41.70589017580822,90.66761208683322,40.007601288701984,64.96127413548598,36.40145871379244,62.30107820390337,28.28941139697073,92.38709501472674,36.940401855470796,90.47670993782043
0.24,41.75491909837438,89.83718773862768,40.14504868183821,63.94540198538235,36.63711120909514,60.945816841817944,28.31097959528687,91.87984073306427,36.96253752846441,89.97491000327261
0.25,41.79877992741793,88.95631067961166,40.20439814783015,62.960892331187964,36.906791781250895,59.695646239934476,28.340473137017064,91.39713101341768,36.978048448779006,89.46629213483145
0.26,41.851049307135945,88.07134286025963,40.32356088244971,61.93547507363368,37.21398748770947,58.41544970656476,28.535352713058373,90.89396749209119,37.00688083212921,88.96312861350495
0.27,41.9127038258154,87.18773862768627,40.336929273787945,61.00823606414311,37.4033652533484,57.20212911150539,28.5485645832187,90.36353223519144,37.02713463562313,88.46405585251446
0.28,41.96352754753536,86.18959310570524,40.409610437486045,60.052361732300646,37.53386216133737,56.03248259860789,28.56503678131473,89.82764263117706,37.04602474596509,87.94043852950801
0.29,42.00802807752189,85.19417475728154,40.667344784225776,59.16739391294862,37.81915357198025,54.772758291251535,28.580139943591824,89.31084324206392,37.05199708727686,87.4086396858296
