,Default Ensemble Good,Default Ensemble Left,Crossdock Default2018 Ensemble Good,Crossdock Default2018 Ensemble Left,Crossdock Dense Ensemble Good,Crossdock Dense Ensemble Left,General Default2018 Ensemble Good,General Default2018 Ensemble Left,Redock Default2018 Ensemble Good,Redock Default2018 Ensemble Left,All Ensemble Good,All Ensemble Left
0.0,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.01,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.02,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.03,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.04,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.05,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.06,72.62910798122066,100.0,66.17370892018779,100.0,68.82629107981221,100.0,66.40845070422536,100.0,70.04694835680753,100.0,72.48826291079811,100.0
0.07,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.8424512796431,99.97652582159624,66.42404320262972,99.97652582159624,70.06339516318386,99.97652582159624,72.48826291079811,100.0
0.08,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.8424512796431,99.97652582159624,66.42404320262972,99.97652582159624,70.09631195677707,99.92957746478874,72.48826291079811,100.0
0.09,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.8424512796431,99.97652582159624,66.43964302489431,99.9530516431925,70.09631195677707,99.92957746478874,72.48826291079811,100.0
0.1,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.8424512796431,99.97652582159624,66.50211565585332,99.85915492957749,70.09631195677707,99.92957746478874,72.50528293026531,99.97652582159624
0.11,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.85861906998589,99.9530516431925,66.51775217493534,99.83568075117373,70.11278195488721,99.90610328638498,72.50528293026531,99.97652582159624
0.12,72.64616107067387,99.97652582159624,66.17370892018779,100.0,68.85861906998589,99.9530516431925,66.53339604891815,99.81220657276995,70.12925969447708,99.88262910798124,72.5223109441052,99.9530516431925
